"timestamp_utc","host_os","host_arch","tool","tool_version","iteration","phase","command","exit_code","real_seconds","user_seconds","system_seconds","max_rss_bytes","health_url","health_status","cache_policy","volume_policy"
"2026-07-25T06:23:36Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","1","build","nozarashi build","0","15.35","0.54","0.28","42303488","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:23:44Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","1","start","nozarashi start and wait for health","0","7.90","0.19","0.13","32489472","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:23:48Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","1","stop","nozarashi stop","0","3.69","0.09","0.05","30277632","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:23:48Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","1","total","nozarashi build + start + stop","0","26.94","0.82","0.46","42303488","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:03Z","Darwin","arm64","docker","5.1.3","1","build","docker build","0","15.14","0.40","0.29","58441728","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:04Z","Darwin","arm64","docker","5.1.3","1","start","docker start and wait for health","0","0.87","0.10","0.07","35405824","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:04Z","Darwin","arm64","docker","5.1.3","1","stop","docker stop","0","0.43","0.07","0.04","33652736","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:04Z","Darwin","arm64","docker","5.1.3","1","total","docker build + start + stop","0","16.44","0.57","0.40","58441728","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:09Z","Darwin","arm64","docker","5.1.3","2","build","docker build","0","5.09","0.34","0.21","53870592","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:10Z","Darwin","arm64","docker","5.1.3","2","start","docker start and wait for health","0","0.36","0.09","0.04","34226176","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:10Z","Darwin","arm64","docker","5.1.3","2","stop","docker stop","0","0.46","0.07","0.04","33603584","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:10Z","Darwin","arm64","docker","5.1.3","2","total","docker build + start + stop","0","5.91","0.50","0.29","53870592","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:13Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","2","build","nozarashi build","0","2.57","0.28","0.15","42483712","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:16Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","2","start","nozarashi start and wait for health","0","2.86","0.13","0.07","32473088","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:16Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","2","stop","nozarashi stop","0","0.47","0.08","0.04","30244864","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:16Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","2","total","nozarashi build + start + stop","0","5.90","0.49","0.26","42483712","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:19Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","3","build","nozarashi build","0","2.36","0.27","0.14","42352640","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:30Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","3","start","nozarashi start and wait for health","0","11.67","0.24","0.19","32391168","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:31Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","3","stop","nozarashi stop","0","0.53","0.08","0.05","30261248","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:31Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","3","total","nozarashi build + start + stop","0","14.56","0.59","0.38","42352640","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:36Z","Darwin","arm64","docker","5.1.3","3","build","docker build","0","4.59","0.34","0.20","53968896","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:36Z","Darwin","arm64","docker","5.1.3","3","start","docker start and wait for health","0","0.36","0.07","0.04","35012608","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:37Z","Darwin","arm64","docker","5.1.3","3","stop","docker stop","0","0.44","0.07","0.03","33685504","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:37Z","Darwin","arm64","docker","5.1.3","3","total","docker build + start + stop","0","5.39","0.48","0.27","53968896","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:42Z","Darwin","arm64","docker","5.1.3","4","build","docker build","0","4.86","0.33","0.20","54181888","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:42Z","Darwin","arm64","docker","5.1.3","4","start","docker start and wait for health","0","0.37","0.08","0.04","34275328","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:42Z","Darwin","arm64","docker","5.1.3","4","stop","docker stop","0","0.43","0.08","0.04","34078720","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:42Z","Darwin","arm64","docker","5.1.3","4","total","docker build + start + stop","0","5.66","0.49","0.28","54181888","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:45Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","4","build","nozarashi build","0","2.27","0.29","0.14","42811392","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:53Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","4","start","nozarashi start and wait for health","0","7.88","0.19","0.13","32473088","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
"2026-07-25T06:24:53Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","4","stop","nozarashi stop","0","0.52","0.08","0.04","30294016","http://127.0.0.1:18080/api/v1/health","","preserved","preserved"
"2026-07-25T06:24:53Z","Darwin","arm64","nozarashi","ddd1d6e-dirty","4","total","nozarashi build + start + stop","0","10.67","0.56","0.31","42811392","http://127.0.0.1:18080/api/v1/health","healthy","preserved","preserved"
